abstract,output
 عضو کمیسیون امنیت‌ملی و سیاست‌خارجی مجلس گفت:مذاکرات وین به دلیل رفتاری که آمریکا در لغو تحریم‌ها داشته به کندی پیش می‌رود. ,"[[('[CLS]', 'O'), ('عضو', 'O'), ('کمیسیون', 'B-organization'), ('امنیتملی', 'I-organization'), ('و', 'I-organization'), ('سیاستخارجی', 'I-organization'), ('مجلس', 'I-organization'), ('گفت', 'O'), (':', 'O'), ('مذاکرات', 'O'), ('وین', 'B-location'), ('به', 'O'), ('دلیل', 'O'), ('رفتاری', 'O'), ('که', 'O'), ('امریکا', 'B-location'), ('در', 'O'), ('لغو', 'O'), ('تحریمها', 'O'), ('داشته', 'O'), ('به', 'O'), ('کندی', 'O'), ('پیش', 'O'), ('میرود', 'O'), ('.', 'O'), ('[SEP]', 'O')]]"
 حضرت آیت‌الله خامنه‌ای در حکمی حجت‌الاسلام سیدسعید حسینی را به امامت جمعه و نمایندگی ولی فقیه در کاشان منصوب کردند. ,"[[('[CLS]', 'O'), ('حضرت', 'O'), ('ایتالله', 'O'), ('خامنهای', 'B-person'), ('در', 'O'), ('حکمی', 'O'), ('حجتالاسلام', 'O'), ('سیدسعید', 'B-person'), ('حسینی', 'I-person'), ('را', 'O'), ('به', 'O'), ('امامت', 'O'), ('جمعه', 'O'), ('و', 'O'), ('نمایندگی', 'O'), ('ولی', 'O'), ('فقیه', 'O'), ('در', 'B-location'), ('کاشان', 'O'), ('منصوب', 'O'), ('کردند', 'O'), ('.', 'O')]]"
 در دومین روز از رزمایش مرکب دریایی آیونز(آیمکس ۲۰۲۲)، یگان‌های شرکت کننده، عملیات امداد و کمک پزشکی و نجات فرد مضطر در دریا(آدم به دریا) را تمرین کردند. ,"[[('[CLS]', 'O'), ('در', 'O'), ('دومین', 'O'), ('روز', 'O'), ('از', 'O'), ('رزمایش', 'O'), ('مرکب', 'O'), ('دریایی', 'O'), ('ایون', 'O'), ('##ز', 'O'), ('(', 'O'), ('ایمکس', 'B-date'), ('۲۰۲۲', 'B-date'), (')', 'O'), ('،', 'O'), ('یگانهای', 'O'), ('شرکت', 'O'), ('کننده', 'O'), ('،', 'O'), ('عملیات', 'O'), ('امداد', 'O'), ('و', 'O'), ('کمک', 'O'), ('پزشکی', 'O'), ('و', 'O'), ('نجات', 'O'), ('فرد', 'O'), ('مضطر', 'O'), ('در', 'O'), ('دریا', 'O'), ('(', 'O'), ('ادم', 'O'), ('به', 'O'), ('دریا', 'O'), (')', 'O'), ('را', 'O'), ('تمرین', 'O'), ('کردند', 'O'), ('.', 'O')]]"
 کارشناس مسائل بین المللی نوشت: در بحبوحه مذاکرات و درست در زمانی که واشنگتن و تروییکای اروپایی تصمیم نهایی و لازم خود جهت رفع عملیاتی تحریم‌های کشورمان را اتخاذ نکرده‌اند، بار دیگر شاهد طرح دروغ‌های هدفمند و ساده‌سازی موضوعات مهم توسط غرب هستیم. ,"[[('[CLS]', 'O'), ('کارشناس', 'O'), ('مسايل', 'O'), ('بین', 'O'), ('المللی', 'O'), ('نوشت', 'O'), (':', 'O'), ('در', 'O'), ('بحبوحه', 'O'), ('مذاکرات', 'O'), ('و', 'O'), ('درست', 'O'), ('در', 'O'), ('زمانی', 'O'), ('که', 'B-location'), ('واشنگتن', 'O'), ('و', 'B-organization'), ('تروی', 'I-organization'), ('##یک', 'O'), ('##ای', 'O'), ('اروپایی', 'O'), ('تصمیم', 'O'), ('نهایی', 'O'), ('و', 'O'), ('لازم', 'O'), ('خود', 'O'), ('جهت', 'O'), ('رفع', 'O'), ('عملیاتی', 'O'), ('تحریمهای', 'O'), ('کشورمان', 'O'), ('را', 'O'), ('اتخاذ', 'O'), ('نکردهاند', 'O'), ('،', 'O'), ('بار', 'O'), ('دیگر', 'O'), ('شاهد', 'O'), ('طرح', 'O'), ('دروغهای', 'O'), ('هدفمند', 'O'), ('و', 'O'), ('سادهسازی', 'O'), ('موضوعات', 'O'), ('مهم', 'O'), ('توسط', 'O'), ('غرب', 'O'), ('هستیم', 'O'), ('.', 'O')]]"
 رهبر انقلاب عصر دیروز جمعه، بعد از تماشای فیلم موقعیت مهدی، از این اثر سینمایی تقدیر کردند. ,"[[('[CLS]', 'O'), ('رهبر', 'O'), ('انقلاب', 'O'), ('عصر', 'O'), ('دیروز', 'O'), ('جمعه', 'O'), ('،', 'O'), ('بعد', 'O'), ('از', 'O'), ('تماشای', 'O'), ('فیلم', 'O'), ('موقعیت', 'B-product'), ('مهدی', 'I-product'), ('،', 'O'), ('از', 'O'), ('این', 'O'), ('اثر', 'O'), ('سینمایی', 'O'), ('تقدیر', 'O'), ('کردند', 'O'), ('.', 'O'), ('[SEP]', 'O')]]"
 مهدی جمشیدی در یادداشتی نوشت: «نبرد روایت‌ها»، جدّی و تعیین‌کننده است و از این جهت است که رهبر انقلاب، بزرگ‌ترین جهاد را «جهاد تبیین» دانسته و این به آن معنی است از این منطقه، آسیب‌پذیریم و چنانچه اهمال بورزیم، بدنۀ اجتماعیِ انقلاب را از دست می‌دهیم. ,"[[('[CLS]', 'O'), ('مهدی', 'B-person'), ('جمشیدی', 'I-person'), ('در', 'O'), ('یادداشتی', 'O'), ('نوشت', 'O'), (':', 'O'), ('[UNK]', 'O'), ('نبرد', 'O'), ('روایتها', 'O'), ('[UNK]', 'O'), ('،', 'O'), ('جدی', 'O'), ('و', 'O'), ('تعیینکننده', 'O'), ('است', 'O'), ('و', 'O'), ('از', 'O'), ('این', 'O'), ('جهت', 'O'), ('است', 'O'), ('که', 'O'), ('رهبر', 'O'), ('انقلاب', 'O'), ('،', 'O'), ('بزرگترین', 'O'), ('جهاد', 'O'), ('را', 'O'), ('[UNK]', 'O'), ('جهاد', 'O'), ('تبیین', 'O'), ('[UNK]', 'O'), ('دانسته', 'O'), ('و', 'O'), ('این', 'O'), ('به', 'O'), ('ان', 'O'), ('معنی', 'O'), ('است', 'O'), ('از', 'O'), ('این', 'O'), ('منطقه', 'O'), ('،', 'O'), ('اسیبپذیری', 'O'), ('##م', 'O'), ('و', 'O'), ('چنانچه', 'O'), ('اهمال', 'O'), ('بورزیم', 'O'), ('،', 'O'), ('بدن', 'O'), ('##ە', 'O'), ('اجتماعی', 'O'), ('انقلاب', 'O'), ('را', 'O'), ('از', 'O'), ('دست', 'O'), ('میدهیم', 'O'), ('.', 'O'), ('[SEP]', 'O')]]"
 سخنگوی دولت گفت: براساس مصوبه چهارشنبه هفته گذشته هیات وزیران، ساعت کاری کارمندان در ماه مبارک رمضان یک ساعت کاهش می‌یابد. ,"[[('[CLS]', 'O'), ('سخنگوی', 'O'), ('دولت', 'O'), ('گفت', 'O'), (':', 'O'), ('براساس', 'O'), ('مصوبه', 'O'), ('چهارشنبه', 'O'), ('هفته', 'O'), ('گذشته', 'O'), ('هیات', 'O'), ('وزیران', 'O'), ('،', 'O'), ('ساعت', 'O'), ('کاری', 'O'), ('کارمندان', 'O'), ('در', 'O'), ('ماه', 'O'), ('مبارک', 'O'), ('رمضان', 'O'), ('یک', 'O'), ('ساعت', 'O'), ('کاهش', 'O'), ('مییابد', 'O'), ('.', 'O'), ('[SEP]', 'O')]]"
 رئیس مجلس به کمیسیون امور داخلی مجلس برای رسیدگی به اتفاقات بازی فوتبال ایران و لبنان، ماموریت داد. ,"[[('[CLS]', 'O'), ('ريیس', 'O'), ('مجلس', 'O'), ('به', 'O'), ('کمیسیون', 'B-organization'), ('امور', 'I-organization'), ('داخلی', 'I-organization'), ('مجلس', 'I-organization'), ('برای', 'O'), ('رسیدگی', 'O'), ('به', 'O'), ('اتفاقات', 'O'), ('بازی', 'O'), ('فوتبال', 'O'), ('ایران', 'B-location'), ('و', 'O'), ('لبنان', 'B-location'), ('،', 'O'), ('ماموریت', 'O'), ('داد', 'O'), ('.', 'O'), ('[SEP]', 'O')]]"
 ستاد کل نیروهای مسلح در بیانیه‌ای با تبریک یوم‌الله ۱۲ فروردین «روز جمهوری اسلامی ایران» به ملت شریف و بصیر ایران اسلامی، بر لزوم سیاستگذاری دستگاه های لشکری و کشوری در مقابله همه جانبه با توطئه های دشمنان تاکید کرد. ,"[[('[CLS]', 'O'), ('ستاد', 'B-organization'), ('کل', 'I-organization'), ('نیروهای', 'I-organization'), ('مسلح', 'I-organization'), ('در', 'O'), ('بیانیهای', 'O'), ('با', 'O'), ('تبریک', 'O'), ('یومالله', 'B-event'), ('۱۲', 'I-event'), ('فروردین', 'I-event'), ('[UNK]', 'O'), ('روز', 'B-event'), ('جمهوری', 'I-event'), ('اسلامی', 'I-event'), ('ایران', 'I-event'), ('[UNK]', 'O'), ('به', 'O'), ('ملت', 'O'), ('شریف', 'O'), ('و', 'O'), ('بصیر', 'O'), ('ایران', 'B-location'), ('اسلامی', 'O'), ('،', 'O'), ('بر', 'O'), ('لزوم', 'O'), ('سیاستگذاری', 'O'), ('دستگاه', 'O'), ('های', 'O'), ('لشکری', 'O'), ('و', 'O'), ('کشوری', 'O'), ('در', 'O'), ('مقابله', 'O'), ('همه', 'O'), ('جانبه', 'O'), ('با', 'O'), ('توطيه', 'O'), ('های', 'O'), ('دشمنان', 'O'), ('تاکید', 'O')]]"
 شورای نگهبان اعلام کرد: مردم ایران در روز ۱۲ فروردین با حضور آگاهانه و متعهدانه نظام مقدس جمهوری اسلامی را برای اداره کشور برگزیده و نظام سیاسی ایران را براساس دین مبین اسلام بنا نهادند. ,"[[('[CLS]', 'O'), ('شورای', 'B-organization'), ('نگهبان', 'I-organization'), ('اعلام', 'O'), ('کرد', 'O'), (':', 'O'), ('مردم', 'O'), ('ایران', 'B-location'), ('در', 'O'), ('روز', 'B-date'), ('۱۲', 'I-date'), ('فروردین', 'I-date'), ('با', 'O'), ('حضور', 'O'), ('اگاهانه', 'O'), ('و', 'O'), ('متعهدانه', 'O'), ('نظام', 'O'), ('مقدس', 'O'), ('جمهوری', 'I-organization'), ('اسلامی', 'I-organization'), ('را', 'O'), ('برای', 'O'), ('اداره', 'O'), ('کشور', 'O'), ('برگزیده', 'O'), ('و', 'O'), ('نظام', 'O'), ('سیاسی', 'O'), ('ایران', 'B-location'), ('را', 'O'), ('براساس', 'O'), ('دین', 'O'), ('مبین', 'O'), ('اسلام', 'O'), ('بنا', 'O'), ('نهادند', 'O'), ('.', 'O'), ('[SEP]', 'O')]]"
 فرمانده‌کل سپاه پاسداران انقلاب اسلامی گفت: حضور صهیونیستها در این مناطق قابل تحمل نیست و لازم است برخی کشورها در این مشی سیاسی خود تجدید نظر کنند. ,"[[('[CLS]', 'O'), ('فرماندهکل', 'O'), ('سپاه', 'B-organization'), ('پاسداران', 'I-organization'), ('انقلاب', 'I-organization'), ('اسلامی', 'I-organization'), ('گفت', 'O'), (':', 'O'), ('حضور', 'O'), ('صهیونیستها', 'B-organization'), ('در', 'O'), ('این', 'O'), ('مناطق', 'O'), ('قابل', 'O'), ('تحمل', 'O'), ('نیست', 'O'), ('و', 'O'), ('لازم', 'O'), ('است', 'O'), ('برخی', 'O'), ('کشورها', 'O'), ('در', 'O'), ('این', 'O'), ('مشی', 'O'), ('سیاسی', 'O'), ('خود', 'O'), ('تجدید', 'O'), ('نظر', 'O'), ('کنند', 'O'), ('.', 'O')]]"
 امام جمعه موقت تهران گفت: پیام روشنی که باید از ۱۲ فروردین بگیریم آن است که در قرن ۱۵ باید تمدن نوین و بزرگ اسلامی توسط دولت انقلابی و اسلامی را شکل دهیم و همین مسیر پیشِ‌روی ملت قرار دارد. ,"[[('[CLS]', 'O'), ('امام', 'O'), ('جمعه', 'O'), ('موقت', 'O'), ('تهران', 'B-location'), ('گفت', 'O'), (':', 'O'), ('پیام', 'O'), ('روشنی', 'O'), ('که', 'O'), ('باید', 'O'), ('از', 'O'), ('۱۲', 'O'), ('فروردین', 'I-date'), ('بگیریم', 'O'), ('ان', 'O'), ('است', 'O'), ('که', 'O'), ('در', 'O'), ('قرن', 'B-date'), ('۱۵', 'I-date'), ('باید', 'O'), ('تمدن', 'O'), ('نوین', 'O'), ('و', 'O'), ('بزرگ', 'O'), ('اسلامی', 'O'), ('توسط', 'O'), ('دولت', 'O'), ('انقلابی', 'O'), ('و', 'O'), ('اسلامی', 'O'), ('را', 'O'), ('شکل', 'O'), ('دهیم', 'O'), ('و', 'O'), ('همین', 'O'), ('مسیر', 'O'), ('پیشروی', 'O'), ('ملت', 'O'), ('قرار', 'O'), ('دارد', 'O'), ('.', 'O'), ('[SEP]', 'O')]]"
" کمتر از دو ماه پس از پیروزی انقلاب اسلامی، مردم ایران در یک همه‌پرسی نظام سیاسی آینده ایران را برگزیدند و به ""جمهوری اسلامی"" رأی دادند. تعدادی از بازماندگان رژیم پهلوی و برخی گروه‌ها که بعدها در برابر نظام ایستادند نیز به جمهوری اسلامی رأی دادند. ","[[('[CLS]', 'O'), ('کمتر', 'O'), ('از', 'O'), ('دو', 'O'), ('ماه', 'O'), ('پس', 'O'), ('از', 'O'), ('پیروزی', 'O'), ('انقلاب', 'O'), ('اسلامی', 'O'), ('،', 'O'), ('مردم', 'O'), ('ایران', 'B-location'), ('در', 'O'), ('یک', 'O'), ('همهپرسی', 'O'), ('نظام', 'O'), ('سیاسی', 'O'), ('اینده', 'O'), ('ایران', 'B-organization'), ('را', 'O'), ('برگزیدند', 'O'), ('و', 'O'), ('به', 'O'), ('""', 'O'), ('جمهوری', 'B-organization'), ('اسلامی', 'I-organization'), ('""', 'O'), ('رای', 'O'), ('دادند', 'O'), ('.', 'O'), ('تعدادی', 'O'), ('از', 'O'), ('بازماندگان', 'O'), ('رژیم', 'B-organization'), ('پهلوی', 'I-organization'), ('و', 'O'), ('برخی', 'O'), ('گروهها', 'O'), ('که', 'O'), ('بعدها', 'O'), ('در', 'O'), ('برابر', 'O'), ('نظام', 'O'), ('ایستادند', 'O'), ('نیز', 'O'), ('به', 'O'), ('جمهوری', 'O'), ('اسلامی', 'O'), ('رای', 'O'), ('دادند', 'O'), ('.', 'O'), ('[SEP]', 'O')]]"
 معاون امنیتی انتظامی وزیر کشور روند امنیت مرزهای شرقی ایران را مثبت و رو به پیشرفت دانست و گفت: برخلاف برخی دسیسه‌های دشمنان در ناامن جلوه دادن مرزها، هیچ تغییر وضعیت امنیتی در مناطق شرقی وجود ندارد. ,"[[('[CLS]', 'O'), ('معاون', 'O'), ('امنیتی', 'O'), ('انتظامی', 'O'), ('وزیر', 'O'), ('کشور', 'B-organization'), ('روند', 'O'), ('امنیت', 'O'), ('مرزهای', 'O'), ('شرقی', 'O'), ('ایران', 'B-location'), ('را', 'O'), ('مثبت', 'O'), ('و', 'O'), ('رو', 'O'), ('به', 'O'), ('پیشرفت', 'O'), ('دانست', 'O'), ('و', 'O'), ('گفت', 'O'), (':', 'O'), ('برخلاف', 'O'), ('برخی', 'O'), ('دسیسههای', 'O'), ('دشمنان', 'O'), ('در', 'O'), ('ناامن', 'O'), ('جلوه', 'O'), ('دادن', 'O'), ('مرزها', 'O'), ('،', 'O'), ('هیچ', 'O'), ('تغییر', 'O'), ('وضعیت', 'O'), ('امنیتی', 'O'), ('در', 'O'), ('مناطق', 'O'), ('شرقی', 'O'), ('وجود', 'O'), ('ندارد', 'O'), ('.', 'O'), ('[SEP]', 'O')]]"
 جمعی از دفاتر بسیج دانشجویی دانشکده های کشاورزی در نامه ای تاکید کردند: جامعه اکادمیک در عرصه کشاورزی نتوانسته در راستای رسالت اصلی خودش قدم بردارد. ,"[[('[CLS]', 'O'), ('جمعی', 'O'), ('از', 'O'), ('دفاتر', 'O'), ('بسیج', 'B-organization'), ('دانشجویی', 'I-organization'), ('دانشکده', 'I-organization'), ('های', 'O'), ('کشاورزی', 'O'), ('در', 'O'), ('نامه', 'O'), ('ای', 'O'), ('تاکید', 'O'), ('کردند', 'O'), (':', 'O'), ('جامعه', 'O'), ('اکادمیک', 'O'), ('در', 'O'), ('عرصه', 'O'), ('کشاورزی', 'O'), ('نتوانسته', 'O'), ('در', 'O'), ('راستای', 'O'), ('رسالت', 'O'), ('اصلی', 'O'), ('خودش', 'O'), ('قدم', 'O'), ('بردارد', 'O')]]"
" شماره جدید هفته نامه‌ی ""خط حزب‌الله"" با عنوان ""بهار فرصت‌ها در رمضان"" در آستانه ماه رمضان منتشر شد. ","[[('[CLS]', 'O'), ('شماره', 'O'), ('جدید', 'O'), ('هفته', 'O'), ('نامهی', 'I-organization'), ('""', 'O'), ('خط', 'O'), ('حزبالله', 'I-organization'), ('""', 'O'), ('با', 'O'), ('عنوان', 'O'), ('""', 'O'), ('بهار', 'O'), ('فرصتها', 'O'), ('در', 'O'), ('رمضان', 'O'), ('""', 'O'), ('در', 'O'), ('استانه', 'O'), ('ماه', 'O'), ('رمضان', 'O'), ('منتشر', 'O'), ('شد', 'O'), ('.', 'O'), ('[SEP]', 'O')]]"
 محفل انس با قرآن کریم در حضور رهبر انقلاب در اولین روز ماه مبارک رمضان برگزار خواهد شد. ,"[[('[CLS]', 'O'), ('محفل', 'O'), ('انس', 'O'), ('با', 'O'), ('قران', 'O'), ('کریم', 'O'), ('در', 'O'), ('حضور', 'O'), ('رهبر', 'O'), ('انقلاب', 'O'), ('در', 'O'), ('اولین', 'O'), ('روز', 'O'), ('ماه', 'O'), ('مبارک', 'O'), ('رمضان', 'O'), ('برگزار', 'O'), ('خواهد', 'O'), ('شد', 'O'), ('.', 'O'), ('[SEP]', 'O')]]"
 ساعت و روزهای برگزاری جلسات علنی مجلس در هفته اول کاری قوه مقننه تغییر کرد. ,"[[('[CLS]', 'O'), ('ساعت', 'O'), ('و', 'O'), ('روزهای', 'O'), ('برگزاری', 'O'), ('جلسات', 'O'), ('علنی', 'O'), ('مجلس', 'O'), ('در', 'O'), ('هفته', 'O'), ('اول', 'O'), ('کاری', 'O'), ('قوه', 'B-organization'), ('مقننه', 'I-organization'), ('تغییر', 'O'), ('کرد', 'O'), ('.', 'O'), ('[SEP]', 'O')]]"
 نائب رئیس کمیسیون اصل ۹۰ مجلس گفت: در سال جاری در کمیسیون متبوعش به شکایات از روند صدور مجوزها به صورت ویژه رسیدگی خواهد شد. ,"[[('[CLS]', 'O'), ('نايب', 'O'), ('ريیس', 'O'), ('کمیسیون', 'B-organization'), ('اصل', 'I-organization'), ('۹۰', 'I-organization'), ('مجلس', 'I-organization'), ('گفت', 'O'), (':', 'O'), ('در', 'O'), ('سال', 'B-date'), ('جاری', 'I-date'), ('در', 'O'), ('کمیسیون', 'O'), ('متبوعش', 'O'), ('به', 'O'), ('شکایات', 'O'), ('از', 'O'), ('روند', 'O'), ('صدور', 'O'), ('مجوزها', 'O'), ('به', 'O'), ('صورت', 'O'), ('ویژه', 'O'), ('رسیدگی', 'O'), ('خواهد', 'O'), ('شد', 'O'), ('.', 'O'), ('[SEP]', 'O')]]"
 رئیس ﺟﻤﻬﻮر در ﭘﯿﺎم‌ﻫﺎی ﺟﺪاﮔﺎﻧﻪ‌ای حلول ماه مبارک رمضان را به سران کشورهای اسلامی تبریک گفت. ,"[[('[CLS]', 'O'), ('ريیس', 'O'), ('[UNK]', 'O'), ('در', 'O'), ('[UNK]', 'O'), ('[UNK]', 'O'), ('حلول', 'O'), ('ماه', 'O'), ('مبارک', 'O'), ('رمضان', 'O'), ('را', 'O'), ('به', 'O'), ('سران', 'O'), ('کشورهای', 'O'), ('اسلامی', 'O'), ('تبریک', 'O'), ('گفت', 'O'), ('.', 'O')]]"
 رئیس دانشگاه آزاد اسلامی گفت: تزریق دوز سوم واکسن کرونا برای بهره‌مندی از امکانات و خدمات خوابگاه‌های دانشجویی دانشگاه آزاد اسلامی الزامی است. ,"[[('[CLS]', 'O'), ('ريیس', 'O'), ('دانشگاه', 'B-organization'), ('ازاد', 'I-organization'), ('اسلامی', 'I-organization'), ('گفت', 'O'), (':', 'O'), ('تزریق', 'O'), ('دوز', 'O'), ('سوم', 'O'), ('واکسن', 'O'), ('کرونا', 'O'), ('برای', 'O'), ('بهرهمندی', 'O'), ('از', 'O'), ('امکانات', 'O'), ('و', 'O'), ('خدمات', 'O'), ('خوابگاههای', 'O'), ('دانشجویی', 'O'), ('دانشگاه', 'B-organization'), ('ازاد', 'I-organization'), ('اسلامی', 'I-organization'), ('الزامی', 'O'), ('است', 'O'), ('.', 'O'), ('[SEP]', 'O')]]"
